,unique_customer_id,order_total_revenue,datetime,num_orders,latest_order,days_last_purchase,recency_score,frequency_score,monetary_score,rfm_code,fm_score
194,195,521.99,"[Timestamp('2024-01-25 00:00:00'), Timestamp('2023-04-09 00:00:00'), Timestamp('2022-11-25 00:00:00'), Timestamp('2022-08-15 00:00:00')]",4,2024-01-25,828,2,3,5,235,4.0
196,197,92.4,[Timestamp('2024-01-24 00:00:00')],1,2024-01-24,829,2,1,4,214,2.5
205,206,100.0,[Timestamp('2024-01-08 00:00:00')],1,2024-01-08,845,2,1,4,214,2.5
206,207,212.5,"[Timestamp('2024-01-08 00:00:00'), Timestamp('2024-01-08 00:00:00'), Timestamp('2022-05-24 00:00:00'), Timestamp('2022-05-24 00:00:00')]",4,2024-01-08,845,2,3,5,235,4.0
209,210,95.2,"[Timestamp('2024-01-03 00:00:00'), Timestamp('2023-12-01 00:00:00')]",2,2024-01-03,850,2,2,4,224,3.0
210,211,95.2,"[Timestamp('2024-01-03 00:00:00'), Timestamp('2023-12-01 00:00:00')]",2,2024-01-03,850,2,2,4,224,3.0
212,213,150.0,"[Timestamp('2024-01-02 00:00:00'), Timestamp('2023-11-23 00:00:00'), Timestamp('2023-10-14 00:00:00')]",3,2024-01-02,851,2,3,4,234,3.5
213,214,128.0,"[Timestamp('2024-01-02 00:00:00'), Timestamp('2023-12-05 00:00:00')]",2,2024-01-02,851,2,2,4,224,3.0
218,219,160.0,"[Timestamp('2023-12-26 00:00:00'), Timestamp('2023-12-26 00:00:00')]",2,2023-12-26,858,2,2,4,224,3.0
222,223,179.96,"[Timestamp('2023-12-19 00:00:00'), Timestamp('2023-12-03 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2023-10-12 00:00:00')]",4,2023-12-19,865,2,3,5,235,4.0
228,229,150.0,"[Timestamp('2023-12-13 00:00:00'), Timestamp('2023-12-13 00:00:00')]",2,2023-12-13,871,2,2,4,224,3.0
239,240,106.0,"[Timestamp('2023-11-26 00:00:00'), Timestamp('2023-11-25 00:00:00'), Timestamp('2023-11-25 00:00:00')]",3,2023-11-26,888,2,3,4,234,3.5
243,244,76.0,"[Timestamp('2023-11-24 00:00:00'), Timestamp('2023-03-02 00:00:00')]",2,2023-11-24,890,2,2,3,223,2.5
248,249,280.0,"[Timestamp('2023-11-23 00:00:00'), Timestamp('2022-11-21 00:00:00'), Timestamp('2022-06-16 00:00:00')]",3,2023-11-23,891,2,3,5,235,4.0
251,252,186.0,"[Timestamp('2023-11-21 00:00:00'), Timestamp('2023-11-21 00:00:00'), Timestamp('2023-11-09 00:00:00'), Timestamp('2023-11-09 00:00:00')]",4,2023-11-21,893,2,3,5,235,4.0
252,253,188.0,"[Timestamp('2023-11-21 00:00:00'), Timestamp('2023-04-09 00:00:00')]",2,2023-11-21,893,2,2,5,225,3.5
254,255,156.0,"[Timestamp('2023-11-20 00:00:00'), Timestamp('2023-11-20 00:00:00'), Timestamp('2023-11-20 00:00:00'), Timestamp('2023-11-20 00:00:00')]",4,2023-11-20,894,2,3,4,234,3.5
255,256,134.4,[Timestamp('2023-11-19 00:00:00')],1,2023-11-19,895,2,1,4,214,2.5
257,258,193.0,"[Timestamp('2023-11-18 00:00:00'), Timestamp('2023-05-02 00:00:00')]",2,2023-11-18,896,2,2,5,225,3.5
261,262,100.8,"[Timestamp('2023-11-11 00:00:00'), Timestamp('2023-08-25 00:00:00')]",2,2023-11-11,903,2,2,4,224,3.0
262,263,80.0,"[Timestamp('2023-11-10 00:00:00'), Timestamp('2023-11-10 00:00:00')]",2,2023-11-10,904,2,2,3,223,2.5
277,278,430.0,"[Timestamp('2023-10-18 00:00:00'), Timestamp('2023-09-05 00:00:00'), Timestamp('2023-03-31 00:00:00')]",3,2023-10-18,927,2,3,5,235,4.0
278,279,98.0,[Timestamp('2023-10-16 00:00:00')],1,2023-10-16,929,2,1,4,214,2.5
279,280,255.73,"[Timestamp('2023-10-15 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2022-11-26 00:00:00'), Timestamp('2022-01-18 00:00:00')]",4,2023-10-15,930,2,3,5,235,4.0
280,281,255.73,"[Timestamp('2023-10-15 00:00:00'), Timestamp('2023-10-14 00:00:00'), Timestamp('2022-11-26 00:00:00'), Timestamp('2022-01-18 00:00:00')]",4,2023-10-15,930,2,3,5,235,4.0
284,285,259.74,"[Timestamp('2023-09-28 00:00:00'), Timestamp('2023-09-28 00:00:00'), Timestamp('2023-06-07 00:00:00'), Timestamp('2023-06-07 00:00:00')]",4,2023-09-28,947,2,3,5,235,4.0
289,290,74.0,"[Timestamp('2023-09-01 00:00:00'), Timestamp('2023-03-04 00:00:00')]",2,2023-09-01,974,2,2,3,223,2.5
290,291,319.9,[Timestamp('2023-08-30 00:00:00')],1,2023-08-30,976,2,1,5,215,3.0
291,292,128.0,[Timestamp('2023-08-28 00:00:00')],1,2023-08-28,978,2,1,4,214,2.5
293,294,148.0,"[Timestamp('2023-08-28 00:00:00'), Timestamp('2023-08-28 00:00:00'), Timestamp('2023-06-23 00:00:00'), Timestamp('2023-06-23 00:00:00')]",4,2023-08-28,978,2,3,4,234,3.5
296,297,203.0,"[Timestamp('2023-08-24 00:00:00'), Timestamp('2023-02-13 00:00:00')]",2,2023-08-24,982,2,2,5,225,3.5
297,298,99.9,[Timestamp('2023-08-23 00:00:00')],1,2023-08-23,983,2,1,4,214,2.5
302,303,99.9,"[Timestamp('2023-08-18 00:00:00'), Timestamp('2023-06-27 00:00:00')]",2,2023-08-18,988,2,2,4,224,3.0
304,305,99.9,[Timestamp('2023-08-13 00:00:00')],1,2023-08-13,993,2,1,4,214,2.5
305,306,202.9,"[Timestamp('2023-08-08 00:00:00'), Timestamp('2022-03-13 00:00:00')]",2,2023-08-08,998,2,2,5,225,3.5
306,307,202.9,"[Timestamp('2023-08-08 00:00:00'), Timestamp('2022-03-13 00:00:00')]",2,2023-08-08,998,2,2,5,225,3.5
315,316,104.0,[Timestamp('2023-07-24 00:00:00')],1,2023-07-24,1013,2,1,4,214,2.5
322,323,99.9,[Timestamp('2023-06-27 00:00:00')],1,2023-06-27,1040,2,1,4,214,2.5
324,325,299.7,[Timestamp('2023-06-24 00:00:00')],1,2023-06-24,1043,2,1,5,215,3.0
325,326,96.0,[Timestamp('2023-06-23 00:00:00')],1,2023-06-23,1044,2,1,4,214,2.5
329,330,99.9,[Timestamp('2023-06-18 00:00:00')],1,2023-06-18,1049,2,1,4,214,2.5
330,331,299.7,[Timestamp('2023-06-17 00:00:00')],1,2023-06-17,1050,2,1,5,215,3.0
338,339,144.0,"[Timestamp('2023-06-07 00:00:00'), Timestamp('2023-06-07 00:00:00'), Timestamp('2023-02-10 00:00:00'), Timestamp('2023-02-10 00:00:00')]",4,2023-06-07,1060,2,3,4,234,3.5
341,342,72.0,"[Timestamp('2023-06-02 00:00:00'), Timestamp('2023-05-23 00:00:00')]",2,2023-06-02,1065,2,2,3,223,2.5
344,345,96.0,[Timestamp('2023-05-29 00:00:00')],1,2023-05-29,1069,2,1,4,214,2.5
346,347,336.0,"[Timestamp('2023-05-23 00:00:00'), Timestamp('2023-05-23 00:00:00'), Timestamp('2023-04-25 00:00:00'), Timestamp('2023-04-25 00:00:00')]",4,2023-05-23,1075,2,3,5,235,4.0
348,349,99.0,[Timestamp('2023-05-12 00:00:00')],1,2023-05-12,1086,2,1,4,214,2.5
355,356,96.0,[Timestamp('2023-05-03 00:00:00')],1,2023-05-03,1095,2,1,4,214,2.5
358,359,90.0,[Timestamp('2023-04-27 00:00:00')],1,2023-04-27,1101,2,1,4,214,2.5
360,361,93.0,[Timestamp('2023-04-24 00:00:00')],1,2023-04-24,1104,2,1,4,214,2.5
366,367,440.0,"[Timestamp('2023-04-09 00:00:00'), Timestamp('2023-03-25 00:00:00'), Timestamp('2023-02-25 00:00:00')]",3,2023-04-09,1119,2,3,5,235,4.0
367,368,165.0,"[Timestamp('2023-04-09 00:00:00'), Timestamp('2023-03-26 00:00:00'), Timestamp('2023-02-27 00:00:00')]",3,2023-04-09,1119,2,3,4,234,3.5
368,369,246.99,"[Timestamp('2023-04-09 00:00:00'), Timestamp('2022-07-08 00:00:00'), Timestamp('2022-02-13 00:00:00')]",3,2023-04-09,1119,2,3,5,235,4.0
373,374,120.0,"[Timestamp('2023-04-02 00:00:00'), Timestamp('2022-07-17 00:00:00')]",2,2023-04-02,1126,2,2,4,224,3.0
374,375,120.0,"[Timestamp('2023-04-02 00:00:00'), Timestamp('2022-07-17 00:00:00')]",2,2023-04-02,1126,2,2,4,224,3.0
375,376,90.0,[Timestamp('2023-04-01 00:00:00')],1,2023-04-01,1127,2,1,4,214,2.5
378,379,138.0,[Timestamp('2023-03-29 00:00:00')],1,2023-03-29,1130,1,1,4,114,2.5
379,380,160.74,"[Timestamp('2023-03-28 00:00:00'), Timestamp('2022-02-08 00:00:00')]",2,2023-03-28,1131,1,2,4,124,3.0
386,387,90.0,[Timestamp('2023-03-12 00:00:00')],1,2023-03-12,1147,1,1,4,114,2.5
388,389,232.0,"[Timestamp('2023-03-06 00:00:00'), Timestamp('2023-02-22 00:00:00'), Timestamp('2023-02-12 00:00:00'), Timestamp('2023-01-22 00:00:00')]",4,2023-03-06,1153,1,3,5,135,4.0
391,392,96.0,[Timestamp('2023-03-03 00:00:00')],1,2023-03-03,1156,1,1,4,114,2.5
401,402,438.0,"[Timestamp('2023-02-22 00:00:00'), Timestamp('2023-02-11 00:00:00')]",2,2023-02-22,1165,1,2,5,125,3.5
403,404,195.0,[Timestamp('2023-02-20 00:00:00')],1,2023-02-20,1167,1,1,5,115,3.0
404,405,153.0,[Timestamp('2023-02-17 00:00:00')],1,2023-02-17,1170,1,1,4,114,2.5
405,406,87.0,[Timestamp('2023-02-16 00:00:00')],1,2023-02-16,1171,1,1,4,114,2.5
408,409,126.0,[Timestamp('2023-02-10 00:00:00')],1,2023-02-10,1177,1,1,4,114,2.5
409,410,90.0,[Timestamp('2023-02-07 00:00:00')],1,2023-02-07,1180,1,1,4,114,2.5
414,415,144.98,"[Timestamp('2023-01-28 00:00:00'), Timestamp('2022-11-28 00:00:00'), Timestamp('2022-09-28 00:00:00')]",3,2023-01-28,1190,1,3,4,134,3.5
415,416,140.0,[Timestamp('2023-01-27 00:00:00')],1,2023-01-27,1191,1,1,4,114,2.5
419,420,320.0,"[Timestamp('2023-01-25 00:00:00'), Timestamp('2023-01-25 00:00:00'), Timestamp('2022-02-05 00:00:00'), Timestamp('2022-02-05 00:00:00')]",4,2023-01-25,1193,1,3,5,135,4.0
421,422,287.98,"[Timestamp('2023-01-18 00:00:00'), Timestamp('2023-01-18 00:00:00'), Timestamp('2022-12-09 00:00:00'), Timestamp('2022-12-09 00:00:00')]",4,2023-01-18,1200,1,3,5,135,4.0
428,429,469.96000000000004,"[Timestamp('2022-12-29 00:00:00'), Timestamp('2022-12-29 00:00:00'), Timestamp('2022-12-06 00:00:00'), Timestamp('2022-12-06 00:00:00')]",4,2022-12-29,1220,1,3,5,135,4.0
431,432,103.99,[Timestamp('2022-12-06 00:00:00')],1,2022-12-06,1243,1,1,4,114,2.5
435,436,89.98,"[Timestamp('2022-11-26 00:00:00'), Timestamp('2022-11-26 00:00:00')]",2,2022-11-26,1253,1,2,4,124,3.0
436,437,236.48000000000002,"[Timestamp('2022-11-26 00:00:00'), Timestamp('2022-08-18 00:00:00')]",2,2022-11-26,1253,1,2,5,125,3.5
437,438,119.99000000000001,"[Timestamp('2022-11-25 00:00:00'), Timestamp('2022-07-28 00:00:00')]",2,2022-11-25,1254,1,2,4,124,3.0
440,441,653.96,"[Timestamp('2022-11-25 00:00:00'), Timestamp('2022-11-25 00:00:00'), Timestamp('2021-12-07 00:00:00'), Timestamp('2021-12-07 00:00:00')]",4,2022-11-25,1254,1,3,5,135,4.0
448,449,119.99,[Timestamp('2022-11-03 00:00:00')],1,2022-11-03,1276,1,1,4,114,2.5
455,456,119.99,[Timestamp('2022-10-30 00:00:00')],1,2022-10-30,1280,1,1,4,114,2.5
457,458,119.99,[Timestamp('2022-10-26 00:00:00')],1,2022-10-26,1284,1,1,4,114,2.5
461,462,164.99,"[Timestamp('2022-10-20 00:00:00'), Timestamp('2022-03-12 00:00:00')]",2,2022-10-20,1290,1,2,4,124,3.0
463,464,469.96000000000004,"[Timestamp('2022-10-20 00:00:00'), Timestamp('2022-10-20 00:00:00'), Timestamp('2022-09-07 00:00:00'), Timestamp('2022-09-07 00:00:00')]",4,2022-10-20,1290,1,3,5,135,4.0
464,465,229.99,"[Timestamp('2022-10-20 00:00:00'), Timestamp('2022-01-08 00:00:00')]",2,2022-10-20,1290,1,2,5,125,3.5
467,468,154.99,[Timestamp('2022-10-11 00:00:00')],1,2022-10-11,1299,1,1,4,114,2.5
468,469,319.96,"[Timestamp('2022-10-07 00:00:00'), Timestamp('2022-10-07 00:00:00'), Timestamp('2022-09-15 00:00:00'), Timestamp('2022-09-15 00:00:00')]",4,2022-10-07,1303,1,3,5,135,4.0
470,471,154.99,[Timestamp('2022-09-15 00:00:00')],1,2022-09-15,1325,1,1,4,114,2.5
474,475,199.99,"[Timestamp('2022-09-07 00:00:00'), Timestamp('2022-06-12 00:00:00')]",2,2022-09-07,1333,1,2,5,125,3.5
475,476,199.99,"[Timestamp('2022-09-07 00:00:00'), Timestamp('2022-06-12 00:00:00')]",2,2022-09-07,1333,1,2,5,125,3.5
482,483,112.5,[Timestamp('2022-08-07 00:00:00')],1,2022-08-07,1364,1,1,4,114,2.5
485,486,225.0,"[Timestamp('2022-07-25 00:00:00'), Timestamp('2022-05-04 00:00:00')]",2,2022-07-25,1377,1,2,5,125,3.5
493,494,150.0,[Timestamp('2022-06-25 00:00:00')],1,2022-06-25,1407,1,1,4,114,2.5
495,496,230.0,[Timestamp('2022-06-08 00:00:00')],1,2022-06-08,1424,1,1,5,115,3.0
502,503,150.0,[Timestamp('2022-05-31 00:00:00')],1,2022-05-31,1432,1,1,4,114,2.5
506,507,191.25,[Timestamp('2022-05-08 00:00:00')],1,2022-05-08,1455,1,1,5,115,3.0
507,508,140.0,[Timestamp('2022-05-07 00:00:00')],1,2022-05-07,1456,1,1,4,114,2.5
509,510,200.0,[Timestamp('2022-04-29 00:00:00')],1,2022-04-29,1464,1,1,5,115,3.0
514,515,116.25,"[Timestamp('2022-04-15 00:00:00'), Timestamp('2022-04-06 00:00:00')]",2,2022-04-15,1478,1,2,4,124,3.0
517,518,420.0,[Timestamp('2022-04-05 00:00:00')],1,2022-04-05,1488,1,1,5,115,3.0
523,524,150.0,[Timestamp('2022-03-16 00:00:00')],1,2022-03-16,1508,1,1,4,114,2.5
524,525,131.75,[Timestamp('2022-03-07 00:00:00')],1,2022-03-07,1517,1,1,4,114,2.5
526,527,145.0,[Timestamp('2022-03-02 00:00:00')],1,2022-03-02,1522,1,1,4,114,2.5
527,528,163.98,"[Timestamp('2022-02-22 00:00:00'), Timestamp('2022-02-22 00:00:00')]",2,2022-02-22,1530,1,2,4,124,3.0
528,529,110.5,[Timestamp('2022-02-21 00:00:00')],1,2022-02-21,1531,1,1,4,114,2.5
533,534,215.0,[Timestamp('2022-02-03 00:00:00')],1,2022-02-03,1549,1,1,5,115,3.0
535,536,200.0,[Timestamp('2022-01-25 00:00:00')],1,2022-01-25,1558,1,1,5,115,3.0
536,537,200.0,[Timestamp('2022-01-20 00:00:00')],1,2022-01-20,1563,1,1,5,115,3.0
547,548,170.0,[Timestamp('2021-12-26 00:00:00')],1,2021-12-26,1588,1,1,4,114,2.5
550,551,160.0,[Timestamp('2021-12-12 00:00:00')],1,2021-12-12,1602,1,1,4,114,2.5
552,553,155.0,[Timestamp('2021-12-11 00:00:00')],1,2021-12-11,1603,1,1,4,114,2.5
554,555,86.99,[Timestamp('2021-12-07 00:00:00')],1,2021-12-07,1607,1,1,4,114,2.5
555,556,84.97999999999999,"[Timestamp('2021-12-07 00:00:00'), Timestamp('2021-11-26 00:00:00'), Timestamp('2021-11-26 00:00:00')]",3,2021-12-07,1607,1,3,4,134,3.5
